RegionID,RegionName,State,Metro,CountyName,SizeRank,% increase over 1996 to 2016
44161,Big Bear Lake,CA,Riverside,San Bernardino,7419,270.8%
44406,California City,CA,Bakersfield,Kern,3301,159.5%
44583,Chino,CA,Riverside,San Bernardino,422,306.8%
44655,Clovis,CA,Fresno,Fresno,271,216.2%
44661,Coarsegold,CA,Madera,Madera,3579,199.2%
44769,Cotati,CA,Santa Rosa,Sonoma,3513,296.5%
44833,Cypress,CA,Los Angeles-Long Beach-Anaheim,Orange,1019,326.5%
45164,Encinitas,CA,San Diego,San Diego,675,375.3%
45191,Eureka,CA,Eureka,Humboldt,1050,246.8%
45398,Gardena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,680,310.3%
45457,Glendale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,118,363.5%
45510,Grand Terrace,CA,Riverside,San Bernardino,3315,262.4%
45602,Hacienda Heights,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,817,315.1%
45732,Hesperia,CA,Riverside,San Bernardino,293,270.6%
45878,Indio,CA,Riverside,Riverside,355,235.2%
45888,Inglewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,207,287.1%
45919,Jamul,CA,San Diego,San Diego,6853,253.6%
46018,Kenwood,CA,Santa Rosa,Sonoma,9641,418.6%
46080,La Canada Flintridge,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2125,387.4%
46089,La Mesa,CA,San Diego,San Diego,527,327.1%
46098,Laguna Woods,CA,Los Angeles-Long Beach-Anaheim,Orange,2515,371.2%
46178,Lawndale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1378,330.4%
46218,Lemoore,CA,Hanford,Kings,1279,194.2%
46298,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,33,351.9%
46314,Los Alamitos,CA,Los Angeles-Long Beach-Anaheim,Orange,2267,312.2%
46477,Meadow Vista,CA,Sacramento,Placer,6424,271.7%
46500,Menifee,CA,Riverside,Riverside,914,230.8%
46697,Nevada City,CA,Truckee,Nevada,3455,252.9%
46887,Olivehurst,CA,Yuba City,Yuba,1608,239.6%
46965,Palm Springs,CA,Riverside,Riverside,1000,374.8%
47019,Pasadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,195,356.8%
47021,Paso Robles,CA,San Luis Obispo,San Luis Obispo,1228,272.2%
47144,Placerville,CA,Sacramento,El Dorado,1697,248.2%
